"anime_id","name","genre","type","episodes","ratings","members"
"","Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","","","","",""
"","One Piece","","","","",""
"","Naruto Shippuuden","","","","",""
"","Naruto Shippuuden Dub","","","","",""
"","Dragon Ball Super","","","","",""
"","Hunter x Hunter 2011","","","","",""
"","One Piece Dub","","","","",""
"","Fairy Tail Dub","","","","",""
"","Boruto Naruto Next Generations","","","","",""
"","Bleach Dub","","","","",""
"","Naruto Dub","","","","",""
"","Fairy Tail","","","","",""
"","Detective Conan","","","","",""
"","Bleach","","","","",""
"","One Punch Man","","","","",""
"","Naruto","","","","",""
"","Fairy Tail 2014","","","","",""
"","Boku no Hero Academia 2nd Season","","","","",""
"","Dragon Ball Z Dub","","","","",""
"","Black Clover TV","","","","",""
"","Gintama","","","","",""
"","Boku no Hero Academia My Hero Academia","","","","",""
"","Re Zero kara Hajimeru Isekai Seikatsu","","","","",""
"","Boku no Hero Academia 3rd Season","","","","",""
"","Sword Art Online II","","","","",""
"","Mahouka Koukou no Rettousei","","","","",""
"","Fairy Tail 2014 Dub","","","","",""
"","Sword Art Online","","","","",""
"","Katekyo Hitman Reborn","","","","",""
"","Shingeki no Kyojin 2nd Season","","","","",""
"","Shokugeki no Souma","","","","",""
"","The Seven Deadly Sins","","","","",""
"","Sousei no Onmyouji Twin Star Exorcists","","","","",""
"","Nanatsu no Taizai Imashime no Fukkatsu","","","","",""
"","Haikyuu","","","","",""
"","Akame ga Kill","","","","",""
"","Fullmetal Alchemist Brotherhood","","","","",""
"","Haikyuu Second Season","","","","",""
"","Tokyo Ghoul","","","","",""
"","Dragon Ball Dub","","","","",""
"","Fullmetal Alchemist Brotherhood Dub","","","","",""
"","Shingeki no Kyojin","","","","",""
"","Kuroko no Basket","","","","",""
"","Kuroko no Basket 2","","","","",""
"","Shingeki no Kyojin Dub","","","","",""
"","Sword Art Online Dub","","","","",""
"","Pokemon Dub","","","","",""
"","Dragon Ball Super Dub","","","","",""
"","Shokugeki no Souma Ni no Sara","","","","",""
"","Kiseijuu Sei no Kakuritsu","","","","",""
"","Ansatsu Kyoushitsu TV 2nd Season","","","","",""
"","Nisekoi","","","","",""
"","Boku no Hero Academia 2nd Season Dub","","","","",""
"","Koutetsujou no Cabaneli","","","","",""
"","No Game No Life","","","","",""
"","Ansatsu Kyoushitsu TV","","","","",""
"","Death Note","","","","",""
"","Strike the Blood","","","","",""
"","Hunter x Hunter 2011 Dub","","","","",""
"","Sword Art Online II Dub","","","","",""
"","Log Horizon","","","","",""
"","Boku dake ga Inai Machi","","","","",""
"","Kono Subarashii Sekai ni Shukufuku wo","","","","",""
"","Shigatsu wa Kimi no Uso","","","","",""
"","World Trigger","","","","",""
"","Mirai Nikki TV","","","","",""
"","Ao no Exorcist","","","","",""
"","Prince of Tennis","","","","",""
"","Dragon Ball Z","","","","",""
"","Hajime no Ippo","","","","",""
"","Diamond no Ace","","","","",""
"","Kuroko no Basket 3rd Season","","","","",""
"","Rakudai Kishi no Cavalry","","","","",""
"","Mob Psycho 100","","","","",""
"","Beelzebub","","","","",""
"","Death Note Dub","","","","",""
"","Tokyo Ghoul A","","","","",""
"","Sakurasou no Pet na Kanojo","","","","",""
"","Yu Gi Oh Duel Monsters Dub","","","","",""
"","D Gray man","","","","",""
"","Toradora","","","","",""
"","Boku no Hero Academia Dub","","","","",""
"","Overlord","","","","",""
"","JoJo no Kimyou na Bouken Diamond wa Kudakenai","","","","",""
"","Tensei shitara Slime Datta Ken","","","","",""
"","Eyeshield 21","","","","",""
"","Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka","","","","",""
"","Kill La Kill","","","","",""
"","Code Geass Lelouch of the Rebellion","","","","",""
"","Tokyo Ghoul Dub","","","","",""
"","Dragon Ball Kai Dub","","","","",""
"","Darling in the FranXX","","","","",""
"","Log Horizon 2nd Season","","","","",""
"","Gakusen Toshi Asterisk","","","","",""
"","Golden Time","","","","",""
"","Steins Gate","","","","",""
"","Noragami Aragoto","","","","",""
"","Yu Yu Hakusho","","","","",""
"","Noragami","","","","",""
"","Hai to Gensou no Grimgar","","","","",""
"","Shingeki no Kyojin Season 3","","","","",""
"","Tokyo Ghoul re","","","","",""
"","Toriko","","","","",""
"","Magi The Kingdom of Magic","","","","",""
"","JoJo s Bizarre Adventure 2012","","","","",""
"","Fullmetal Alchemist Dub","","","","",""
"","Magi","","","","",""
"","Akatsuki no Yona","","","","",""
"","Ao no Exorcist Dub","","","","",""
"","Mirai Nikki TV Dub","","","","",""
"","Masou Gakuen HxH","","","","",""
"","Shokugeki no Souma San no Sara","","","","",""
"","Soul Eater Dub","","","","",""
"","Kaichou wa Maid sama","","","","",""
"","Overlord II","","","","",""
"","Akame ga Kill Dub","","","","",""
"","Trinity Seven","","","","",""
"","Kono Subarashii Sekai ni Shukufuku wo 2","","","","",""
"","Ao no Exorcist Kyoto Fujouou hen","","","","",""
"","Ansatsu Kyoushitsu TV Dub","","","","",""
"","InuYasha Dub","","","","",""
"","JoJo s Bizarre Adventure Stardust Crusaders","","","","",""
"","Haikyuu Third Season","","","","",""
"","Highschool DxD","","","","",""
"","Tokyo Ghoul Root A Dub","","","","",""
"","High School DxD Dub","","","","",""
"","Bungou Stray Dogs","","","","",""
"","Hundred","","","","",""
"","The Seven Deadly Sins Dub","","","","",""
"","Masamune kun no Revenge","","","","",""
"","Dragon Ball","","","","",""
"","Kimi ni Todoke","","","","",""
"","Guilty Crown","","","","",""
"","Hyouka","","","","",""
"","Ansatsu Kyoushitsu TV 2nd Season Dub","","","","",""
"","Yu Gi Oh Arc V 5","","","","",""
"","Overlord III","","","","",""
"","Yuri on Ice","","","","",""
"","Grisaia no Kajitsu","","","","",""
"","Ao Haru Ride","","","","",""
"","To LOVE Ru","","","","",""
"","Gate Jieitai Kanochi nite Kaku Tatakaeri","","","","",""
"","Soul Eater","","","","",""
"","Slam Dunk","","","","",""
"","Yu Gi Oh Duel Monsters Sub","","","","",""
"","Code Geass Lelouch of the Rebellion Dub","","","","",""
"","Bakemonogatari","","","","",""
"","Shingeki no Kyojin 1080p","","","","",""
"","Tonari no Kaibutsu kun","","","","",""
"","Avatar The Last Airbender Season 3","","","","",""
"","Psycho Pass","","","","",""
"","Black Clover TV Dub","","","","",""
"","Pokemon XY Dub","","","","",""
"","Jojo s Bizarre Adventure Stardust Crusaders 2nd Season","","","","",""
"","Shokugeki no Souma S4","","","","",""
"","High School DxD New Dub","","","","",""
"","Diamond no Ace Second Season","","","","",""
"","Kobayashi san Chi no Maid Dragon","","","","",""
"","Gakusen Toshi Asterisk 2nd Season","","","","",""
"","Avatar The Last Airbender Season 2","","","","",""
"","Madan no Ou to Vanadis","","","","",""
"","Charlotte","","","","",""
"","Tales of Zestiria the X Cross","","","","",""
"","The Legend of Korra Season 4","","","","",""
"","Youjo Senki","","","","",""
"","Owari no Seraph","","","","",""
"","Black Bullet","","","","",""
"","Musaigen no Phantom World","","","","",""
"","Toradora Dub","","","","",""
"","Kiseijuu Sei no Kakuritsu Dub","","","","",""
"","Kill la Kill Dub","","","","",""
"","High School DxD BorN Dub","","","","",""
"","Yu Gi Oh Duel Monsters GX Dub","","","","",""
"","Mobile Suit Gundam Iron Blooded Orphans","","","","",""
"","The Legend of Korra Season 3","","","","",""
"","Toaru Majutsu no Index","","","","",""
"","Fate Apocrypha","","","","",""
"","Taboo Tattoo","","","","",""
"","Drifters","","","","",""
"","Amagi Brilliant Park","","","","",""
"","Kimi no Na wa","","","","",""
"","Berserk 2016","","","","",""
"","Kuroshitsuji","","","","",""
"","Neon Genesis Evangelion","","","","",""
"","Yu Yu Hakusho Sub","","","","",""
"","Accel World","","","","",""
"","The Legend of Korra Season 2","","","","",""
"","ReLIFE","","","","",""
"","Inazuma Eleven","","","","",""
"","The Ancient Magus Bride","","","","",""
"","Kuroshitsuji Dub","","","","",""
"","Nisekoi 2","","","","",""
"","Durarara","","","","",""
"","High School DxD BorN","","","","",""
"","Sakamoto desu ga","","","","",""
"","Pokemon XY","","","","",""
"","Death March kara Hajimaru Isekai Kyousoukyoku","","","","",""
"","Fate stay night 2014","","","","",""
"","Cowboy Bebop","","","","",""
"","Saiki Kusuo no Ψ Nan TV","","","","",""
"","Gekkan Shoujo Nozaki kun","","","","",""
"","Kiznaiver","","","","",""
"","One Punch Man Specials","","","","",""
"","Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai","","","","",""
"","Date A Live","","","","",""
"","Angel Beats","","","","",""
"","Log Horizon Dub","","","","",""
"","Yahari Ore no Seishun Love Comedy wa Machigatteiru Zoku","","","","",""
"","Re Creators","","","","",""
"","Code Geass Lelouch of the Rebellion R2 Dub","","","","",""
"","Yu Gi Oh Duel Monsters GX","","","","",""
"","Boku wa Tomodachi ga Sukunai","","","","",""
"","Dragon Ball Kai 2014","","","","",""
"","Tokyo Ghoul re 2nd Season","","","","",""
"","Isekai wa Smartphone to Tomo ni","","","","",""
"","Fate stay night","","","","",""
"","Kyoukai no Kanata","","","","",""
"","Ajin","","","","",""
"","Monogatari Series Second Season","","","","",""
"","Shijou Saikyou no Deshi Kenichi","","","","",""
"","Yosuga no Sora In Solitude Where We Are Least Alone","","","","",""
